PMID;DP;TI;AB;MH
9171248;1997 May;Twin studies in diabetes mellitus.;Twin studies are a valuable way of determining the relative significance of genetic and environmental factors in the aetiology of disease. In diabetes mellitus, they are of importance, since the aetiologies of Type 1 (insulin-dependent) and Type 2 (non-insulin-dependent) diabetes mellitus are probably different. However the results of twin studies have not always been reliable. Strict adherence to methodological guidelines is necessary to ensure the validity of the results that are obtained. These guidelines relate to ascertainment of a twin sample, confirmation of zygosity, and effects of sampling. Critical review of twin studies in diabetes performed to date imply provisionally a very strong genetic input to the aetiology of Type 1 diabetes. In Type 2 diabetes genetic and environmental factors are probably of equal importance.;Diabetes Mellitus/etiology/*genetics, Diabetes Mellitus, Type 1/etiology/genetics, Diabetes Mellitus, Type 2/etiology/genetics, Environment, Humans, Patient Selection, Twin Studies as Topic
16106756;2005 Jun 19;[Diabetes mellitus in children].;The review is covering different forms of diabetes mellitus occurring in children and adolescents. Main characteristics of childhood diabetes are based on the continuous changes in growth and development of children. The review is focusing on the diagnostics, epidemiology, etiopathogenesis and natural course of type 1 diabetes, the dominant form in the pediatric age group. Insulin treatment, nutritional management and education, including age related special problems are covered. Due to space limitations, acute and late complications, as well as possible prevention of type 1 diabetes are shortly mentioned. Beside type 1 diabetes, other forms of carbohydrate intolerance occurring in children are also also included. Among those, special emphasis is put on type 2 diabetes, due to its increasing incidence in children and adolescents parallel to the increased prevalence of childhood obesity.;Adolescent, Autoimmune Diseases/complications, Blood Glucose Self-Monitoring, Child, Diabetes Complications/diagnosis/therapy, Diabetes Mellitus/*diagnosis/diet therapy/drug therapy/epidemiology/immunology/prevention & control/*therapy, Diabetes Mellitus, Type 1/diagnosis/therapy, Diabetes Mellitus, Type 2/diagnosis/therapy, Diabetic Ketoacidosis/etiology, Glucose Tolerance Test, Humans, Hypoglycemia/etiology, Hypoglycemic Agents/administration & dosage, Incidence, Insulin/administration & dosage, Metabolic Syndrome/diagnosis/therapy, Patient Education as Topic, Prevalence
22242260;2011;[Post-transplantational diabetes mellitus].;Newly developed diabetes and impaired glucose tolerance are frequent post-transplantation metabolic complications. In most reports, the incidence of newly-diagnosed diabetes in such patients varies from 10 to 26%. They are at high risk of cardiovascular complications, infections, graft rejection, and impaired survival compared with recipients having normal blood glucose level. Some of the above risk factors are common for the general population (age, excess body weight, familial diabetes, afroamerican ethnicity, arterial hypertension, dyslipidemia). Specific risk factors characteristic of the post-transplantation period include the use of glucocorticoids and imunodepressants (especially tacrolimus and mTOR inhibitors) as well as infections (HCV and possibly cytomegalovirus). Screening for diabetes and evaluation of risk factors are recommended to all patients before and after transplantation. Patients of high-risk groups should be treated using non-diabetogenic protocols of immunosuppression. Achievement of normoglycemia, control of lipid levels and arterial pressure, screening for diabetes complications are indispensable components of the treatment aimed at the improvement of clinical outcome in the patients developing diabetes after organ transplantation.;Diabetes Mellitus/diagnosis/drug therapy/epidemiology/etiology, Humans, Organ Transplantation/*adverse effects
12603567;2003 Mar; Preparing nurses to face the pandemic of diabetes mellitus: a literature review.;Diabetes constitutes a global public health problem. Today about 135 million people are affected and it is estimated that the number in 2025 will be 300 million. AIMS: By reviewing existing literature the aim is to raise awareness among nurses, nurse educators and nursing students of the global epidemic of diabetes mellitus, its multiple underlying causes, especially social ones, and how to fight it. A further aim is to discuss the implications for future curriculum content in nurse education programmes. FINDINGS: The main underlying causes of the disease are genetic and environmental factors, such as urbanization and industrialization, as well as increased longevity and changes in lifestyle from a traditional healthy and active life to a modern, sedentary, stressful life and over-consumption of energy-dense foods. This process, labelled 'coca-colonization', is evident all over the world, although more so in developing countries. The prevalence of diabetes mellitus varies among populations due to differences in genetic susceptibility and social risk factors such as change in diet, obesity, physical inactivity and, possibly, factors relating to intrauterine development. Migrants are especially affected. Diabetes mellitus needs to be treated by a holistic approach through dietary adjustment, exercise, medication (if needed), education and self-care measures. Type 2 diabetes mellitus is a preventable disease. The main implication for nurses and nursing curricula is to change the focus from the individual with diabetes mellitus and management to prevent deterioration of health (secondary prevention), to population-based community-intervention programmes. These need to focus on health promoting activities to raise awareness among healthy people of the risk factors for diabetes mellitus. CONCLUSION: Nurses all over the world have an important role in fighting the diabetic pandemic by health promotion aimed to keep people healthy as long as possible.;Curriculum, Developing Countries/statistics & numerical data, Diabetes Mellitus/epidemiology/etiology/*nursing/prevention & control, Diabetes Mellitus, Type 2/etiology/nursing/prevention & control, Disease Outbreaks, Education, Nursing, Continuing/*methods, Health Promotion, Humans, Nurse Clinicians/*education, Urbanization
6374587;1984 Jun;Etiology and pathogenesis of diabetes mellitus.;The concept that diabetes mellitus is not a single disease. but rather a clinical syndrome characterized by inappropriately elevated fasting or post-prandial blood glucoses and the development of long-term microvascular, macrovascular, and neuropathic changes is of very recent origin and stems from numerous investigations into the epidemiology, genetics, etiology, and pathogenesis of clinical diabetic states. This article reviews some of these data and indicates that the various forms of diabetes mellitus have markedly different etiologies and pathogenetic mechanisms and that these must be recognized in order to understand and care for patients.;Diabetes Mellitus/classification/*etiology, Diabetes Mellitus, Type 1/classification/etiology, Diabetes Mellitus, Type 2/classification/etiology, Female, HLA Antigens/genetics, Humans, Male, Pregnancy, Pregnancy in Diabetics
11938022;2002 Feb;Diabetes in Africans. Part 2: Ketosis-prone atypical diabetes mellitus.;"Diabetes is increasing with ageing and changes in lifestyle in populations of African ancestry as described in the first part of this review. Apart from classical type 1 and Type 2 diabetes, atypical presentations are observed in these populations, especially ""tropical"" and ""ketosis-prone"" atypical diabetes. Ketosis-prone atypical diabetes that has been classified by ADA as idiopathic Type 1 diabetes or Type 1b is the most common atypical form. It is characterised by an acute initial presentation with severe hyperglycaemia and ketosis, as classical Type 1 diabetes. In the subsequent clinical course after initiation of insulin therapy, prolonged remission is often possible with cessation of insulin therapy and maintenance of appropriate metabolic control. Metabolic studies showed a markedly blunted insulin secretory response to glucose, partially reversible with the improvement of blood glucose control. Variable levels of insulin resistance are observed, especially in obese patients. Pancreatic B-cell autoimmunity is an exceptional finding. Association with type 1 susceptibility HLA alleles is variable. The molecular mechanisms underlining the insulin secretory dysfunction are still to be understood and may involve gluco-lipotoxicity processes, glucagon dysregulation, effect of stress, or may be genetically determined. The present review summarises the available clinical and metabolic features and suggests some pathogenetic hypotheses and principles of management for the ketosis-prone atypical diabetes of the Africans.";Africa/ethnology, Diabetes Mellitus/*classification/*epidemiology/*genetics/metabolism, Diabetes Mellitus, Type 1/*epidemiology, Humans
9679669;1998 Jun;Role of endothelin-1 in diabetes mellitus.;Endothelin-1 is mainly synthesized by the vascular endothelial cells and acts on the vascular smooth muscle. Because of its vasoconstrictor and mitogenic effects it plays a role in the development of vascular diseases. In diabetes mellitus atherosclerosis is accelerated. The authors summarize the available data of the role of endothelin-1 in Type 1 and Type 2 diabetes mellitus and the development of diabetic complication.;Animals, Diabetes Complications, Diabetes Mellitus/physiopathology, Diabetes Mellitus, Experimental/complications/physiopathology, Diabetes Mellitus, Type 1/complications/physiopathology, Diabetes Mellitus, Type 2/complications/physiopathology, Diabetic Angiopathies/etiology/physiopathology, Endothelin-1/*physiology, Humans, Rats
24601207;2013 Sep;Paediatric diabetes.;Diabetes does not spare any section of society, and its prevalence in the paediatric and adolescent age group is rising. This review highlights the etiological and clinical features of childhood diabetes, including secular changes in epidemiology. It discusses the aspects of non pharmacological and pharmacological therapy which are unique to the paediatric age group, and explores current use of novel therapeutic modalities. The article calls for modulation of the psychological environment of the child with diabetes, to help improve his or her quality of life, and sensitizes physicians to take proactive, affirmative action to address the special needs of children with type1 diabetes.;Adolescent, Child, Diabetes Mellitus, Type 1/classification/diagnosis/therapy, Diabetes Mellitus, Type 2/classification/diagnosis/therapy, Diagnosis, Differential, Humans
23383581;2012 Nov; [Disease management for diabetes mellitus to prevent the onset and progression of complications].;"We developed a new critical pathway technique and an outbound-inbound call center system. The former is to support general physicians to care for outpatients with diabetes mellitus according to practice guidelines. We employed the ""Overlay method” to develop personalized optimal critical pathways. Our overview critical pathways consist of basic sheets for regular examinations and optional sheets on which the kinds and frequencies of medical examinations are determined according to many parameters, such as methods of treatment, the severity of diabetic complications, and knowledge levels. The critical pathway is continually modified according to the change in the patient's condition. The latter is to maintain and enhance the treatment motivation of outpatients. Call center agents collect medical information, making outgoing calls using a questionnaire about the patient's health status and diabetic complications as well as receiving incoming calls. When patients do not visit on the appointment date, call center agents arrange the next consultation to prevent treatment dropout. These systems are now under evaluation in a clinical trial of outpatients with diabetes mellitus.";Continuity of Patient Care, Critical Pathways, Diabetes Complications/diagnosis/*prevention & control, Diabetes Mellitus/diagnosis/prevention & control/*therapy, Disease Progression, Humans
11268929;2000 Dec;Diabetes mellitus in the pre-school child.;"Diabetes mellitus presents rarely in the pre-school child and presents specific problems because of the peculiarity of the young child physiology. Pathogenesis involves the classic immunological mechanisms, with a higher incidence of other autoimmunity and family history of diabetes. Because of the rarity of the condition in this age group, the delay of the recognition of the signs and symptoms, which are often subtle at onset, determines the increased incidence of ketoacidosis. The reasons for the lower glycaemic control in this age group include the persistence of endogenous insulin, but also a more detailed involvement by the parents in organising diabetes. For the same reason ketoacidosis is an unusual occurrence after diagnosis. As to insulin therapy, three or more injections a day should be recommended, as in the older child, while the modern devices for blood glucose monitoring have proved useful to improve glycaemic control and to decrease the frequency of nocturnal hypoglycaemia, which gives particular concern given the vulnerability of the nervous system in this age group. Management of diabetes in the pre-school child may result very difficult for both parents and health carers because of the erratic daily pattern of activity, sleep and feeding; however, with a cautious strategy which involves insulin therapy, diet and monitoring it is possible to achieve satisfactorily the following aims: physical well-being of the young child, normal growth, lack of hyperglycaemia or hypoglycaemia, acceptable value of glycosilated haemoglobin.";Child, Preschool, Diabetes Complications, Diabetes Mellitus/diagnosis/epidemiology/etiology/therapy, Diet, Diabetic, Family Health, Female, Humans, Male
15344729;2004 May 13; [Newly diagnosed diabetes mellitus--what to look out for].;Screening for diabetes makes good sense in particular in patients with overweight, hypertension or dyslipidemia. For type 2 diabetes is often not recognized until sequelae have put in an appearance. Consideration must be given to the possible presence of neuropathy, micro- and macroangiopathy and cardiovascular and cerebral disease. The primary therapy recommendations for type 2 diabetics comprise diet, weight loss and increased exercise. Depending on the success of these measures and the patient's constitution, medication with biguanides, sulfonylureas, glinides, glitazones alpha-glucosidase inhibitors or, where indicated, insulin, is then applied.;Adolescent, Adult, Blood Glucose/analysis, Diabetes Mellitus/*diagnosis/*therapy, Diabetes Mellitus, Type 1/diagnosis/drug therapy/therapy, Diabetes Mellitus, Type 2/diagnosis/drug therapy/therapy, Diabetes, Gestational/diagnosis/therapy, Diagnosis, Differential, Female, Glucose Tolerance Test, Humans, Insulin/therapeutic use, Male, Mass Screening, Pregnancy
2694768;1989 Sep;[Epidemiology: concepts and diagnosis of diabetes mellitus].;A review is presented of present concepts about diabetes mellitus and the several etiopathogenic mechanisms. Diagnostic criteria and classification are summarised. Some epidemiological data and their implications on prevention are reviewed.;Diabetes Complications, Diabetes Mellitus/diagnosis/epidemiology/prevention & control, Humans, Portugal/epidemiology
19667649;2003 Dec;Diabetes: an overview.;This article provides an overview of diabetes mellitus as background for better understanding metabolic concerns in patients with severe mental illness. The diagnosis, classification, epidemiology, and risk factors for type 1 and type 2 diabetes are reviewed. The article then discusses the pathogenesis of diabetes and describes the mechanisms involved in impaired insulin secretion and insulin resistance. The major complications of diabetes--renal failure, retinopathy, neuropathy, and cardiovascular disease--are described and the effectiveness of treatment in reducing these complications is considered. Current treatment strategies for type 1 and type 2 diabetes, including diet and lifestyle changes and available pharmacological agents, are then discussed.;Diabetes Mellitus, Type 1/etiology/metabolism/therapy, Diabetes Mellitus, Type 2/etiology/metabolism/therapy, Humans
12015934;2002 May;[Diagnosis, classification and cathogenesis of diabetes mellitus].;Diabetes mellitus (DM) is a metabolic disorder characterized by the presence of chronic hyperglycemia accompanied by greater or lesser impairment in the metabolism of carbohydrates, lipids and proteins. The origin and etiology of DM can vary greatly but always include defects in either insulin secretion or response or in both at some point in the course of disease. When characteristic symptoms of DM are clearly present and blood glucose levels are high enough, the diagnosis is usually unequivocal. However, it is important to remember that the diagnosis is made in asymptomatic patients in most cases, based on the results of routine tests. The prevalence of DM, its specific complications and the presence of other diseases that often accompany DM make this disease one of today's main social and public health problems. The great increase in information available on the etiology and pathophysiology of DM and its chronic complications has led necessarily to the revision of diagnostic criteria and reclassification of the processes involved. Revised diagnostic criteria and classifications were agreed upon in 1997 and 1998 by the American Diabetes Association and the World Health Organization, respectively, and new recommendations were published. Thanks to cross-representation on the committees, the conclusions and final recommendations are, in general, very similar, although a few minor differences are present. Clarification of diagnostic criteria and better classification of patients suffering from DM should allow us to make better choices among the various treatment options available and to improve prognosis.;Blood Glucose/analysis, Diabetes Mellitus/classification/*diagnosis/etiology, Diabetes Mellitus, Type 1/classification/diagnosis, Diabetes Mellitus, Type 2/classification/diagnosis, Humans
21127150;2011 Feb;Personalized medicine in diabetes.;Multiple genes that are associated with the risk of developing diabetes or the risk of diabetes complications have been identified by candidate gene analysis and genomewide scanning. These molecular markers, together with clinical data and findings from proteomics, metabolomics, pharmacogenetics, and other methods, lead to a consideration of the extent to which personalized approaches can be applied to the treatment of diabetes mellitus. CONTENT: Known genes that cause monogenic subtypes of diabetes are reviewed, and several examples are discussed in which the genotype of an individual with diabetes can direct considerations of preferred choices for glycemic therapy. The extent of characterization of polygenic determinants of type 1 and type 2 diabetes is summarized, and the potential for using this information in personalized management of glycemia and complications in diabetes is discussed. The application and current limitations of proteomic and metabolomic methods in elucidating diabetes heterogeneity is reviewed. SUMMARY: There is established heterogeneity in the determinants of diabetes and the risk of diabetes complications. Understanding the basis of this heterogeneity provides an opportunity for personalizing prevention and treatment strategies according to individual patient clinical and molecular characteristics. There is evidence-based support for benefits from a personalized approach to diabetes care in patients with certain monogenic forms of diabetes. It is anticipated that strategies for individualized treatment decisions in the more common forms of diabetes will emerge with expanding knowledge of polygenic factors and other molecular determinants of disease.;Blood Glucose/metabolism, Diabetes Complications/genetics/prevention & control, Diabetes Mellitus/classification/genetics/*therapy, Diabetes Mellitus, Type 1/classification/genetics/therapy, Diabetes Mellitus, Type 2/classification/genetics/therapy, Humans, Metabolome, Mutation, Precision Medicine, Proteome/analysis
15747984;2004;[Diabetes mellitus--definition, classification and diagnosis].;Diabetes mellitus comprises of a group of heterogeneous disorders which have an increase in blood glucose concentrations in common. The current classifications for diabetes mellitus type 1-4 are described and the main features of type 1 and type 2 diabetes are compared to allow for better discrimination between these diabetes types. Furthermore, the criteria for the correct biochemical diagnosis during fasting and during oral glucose tolerance tests are summarized. These data form the basis of the recommendations of the Austrian Diabetes Association for the clinical practice in diabetes.;Austria, Diabetes Mellitus/*classification/*diagnosis, Diabetes Mellitus, Type 1/classification/diagnosis, Diabetes Mellitus, Type 2/classification/diagnosis, Humans, Societies, Medical
1750246;1991;[Diabetes mellitus: facts and hypotheses].;The paper summarizes the experience gained in examining diabetes mellitus and its complications in the experimental and clinical settings for many years. It forwards the basic aspects in the major problems of diabetology: etiology, pathogenesis, prevention, and therapy. The paper analyses the fate of some hypotheses advanced in different years and emphasizes new advances made in theory and practice of medicine.;Aged, Animals, Diabetes Mellitus/physiopathology/therapy, Diabetes Mellitus, Experimental/physiopathology/therapy, Diabetes Mellitus, Type 1/physiopathology/therapy, Diabetes Mellitus, Type 2/physiopathology/therapy, Humans, Hypoglycemic Agents/therapeutic use, Insulin/therapeutic use, Isoquinolines/therapeutic use, Rats
17644210;2007 Sep;Epidemiology of diabetes mellitus in old age in Japan.;Epidemiological studies on diabetes mellitus revealed that the number of patients with diabetes mellitus is gradually increasing in Japan along with development of car society and westernization of food intake. Since prevalence of diabetes mellitus increases with aging, proportion of individuals with diabetes mellitus aged over 60 has exceeded two-third of estimated total number of patients (7.40 million in 2002) in Japan where aging of society is rapidly progressing. Type 2 diabetes mellitus is common in diabetes mellitus in old age, and there are rarely elderly patients with type 1 diabetes mellitus. Prevalence of both diabetic microangiopathy and atherosclerotic vascular diseases is higher in the elderly with diabetes mellitus than in the middle-aged with diabetes mellitus. Furthermore, atherosclerotic vascular diseases (ischemic heart disease, cerebro-vascular disease and peripheral vascular disease) are more prevalent in the elderly with diabetes mellitus than in those without diabetes mellitus. Many studies demonstrated that functional declines, i.e. decreases in activities of daily living, physical activity and cognitive function, deteriorated quality of life in the elderly, and functional declines are more prominent in the elderly with diabetes mellitus than in those without diabetes mellitus. In order to clarify how the elderly patients with diabetes mellitus should be treated to maintain their quality of life, a nationwide randomized controlled intervention study using 1173 Japanese elderly patients with diabetes mellitus is now performing. In summary, number of elderly patients with diabetes mellitus is overwhelmingly increasing in Japan as well as in westernized countries. It is necessary for us to treat the elderly with diabetes mellitus to maintain their function and quality of life.;Aged, Body Mass Index , Diabetes Mellitus/*epidemiology/physiopathology, Diabetes Mellitus, Type 1/epidemiology/physiopathology, Diabetes Mellitus, Type 2/epidemiology/physiopathology, Diabetic Angiopathies/epidemiology, Geography, Global Health, Humans, Japan, Prevalence
26211283;2015 Jun 3;[Classification of diabetes: an increasing heterogeneity].;Diabetes mellitus is usually subdivided into type 1 and type 2. Despite precise criteria, distinction between these two types of diabetes can be difficult because of cases with superposition of the two classes. Adults aged 20 to 40 are particularly at risk of presenting an intermediary type of diabetes and thus are subject to misclassification. The distinction between these subtypes is relevant because of the therapeutic decision and the outcome which relies on insulin supply and therefore the evolution to insulin dependence. Thus, it seems important to review a new and more accurate classification of diabetes to offer a more appropriated care to patients.;Adolescent, Adult, Age of Onset, Child, Diabetes Mellitus/*classification/epidemiology, Diabetes Mellitus, Type 1/classification/epidemiology, Diabetes Mellitus, Type 2/classification/epidemiology, Humans
18207116;2008 Feb;Cognition and diabetes: a lifespan perspective.;Diabetes mellitus is associated with cognitive dysfunction and abnormalities that can be seen with brain imaging. Recent studies provide important new insights into  the nature and severity of these cerebral complications that help to explain why  some patients with diabetes have clinically relevant neurocognitive morbidity, whereas most are apparently unaffected. This Personal View investigates the hypothesis that clinically relevant diabetes-related cognitive decrements mainly occur at two crucial periods in life: when the brain is developing in childhood, and when the brain undergoes neurodegenerative changes associated with ageing. Outside of these periods cognitive decrements mainly occur in patients with notable diabetes-related comorbidities, in particular microvascular or macrovascular complications. The identification of crucial periods and conditions for the development of diabetes-related cognitive decrements helps to draw the attention of physicians to individuals at risk and can direct future studies into the mechanisms that underlie these conditions.;Adolescent, Adult, Aged, Aging/physiology, Child, Child, Preschool, Cognition/*physiology, Diabetes Mellitus/epidemiology/*psychology/therapy, Diabetes Mellitus, Type 1/epidemiology/psychology, Diabetes Mellitus, Type 2/epidemiology/psychology, Humans, Infant, Middle Aged
21812811;2011 Nov;Diabetes-science, serendipity and common sense.;This paper is dedicated to young researchers in diabetes. One such person was Frederick Banting who, with his colleagues, isolated insulin in 1921, saving the lives of literally millions of people. What factors allowed Banting and other scientists to produce work that has immensely benefited the human race? I propose that it is the combination of good scientific background (the 'prepared mind'), commonly some serendipity taken with a good dose of common sense and supplemented by enthusiasm, tenacity and good mentoring, which drives the 'power of observation' and the ability to take forward the good idea. I give examples from history to support this and then discuss some of the 'truths, perspectives and controversies' within the diabetes arena when I first started in diabetes research in the late 1970s. I describe how my appetite was initially 'whetted' for research by moving to an excellent clinical research environment with encouragement to test ideas and controversies initially in a clinical research programme, followed by more scientific/basic research. The work that I performed as a young doctor and research fellow led to a lifelong professional interest in three major areas-causes and interventions for diabetes vascular disease, studies of the molecular genetics of Type 1 and Type 2 diabetes and work on diabetes in different ethnic groups. I provide a summation of my own and other people's work to demonstrate how research can be progressed and lead to patient benefit as well as providing an incredibly rewarding career. I believe that we need to encourage and put more resources into development of young doctors and scientists wishing to undertake research in our discipline. Areas ripe for much-needed clinical research programmes, for example, include work on best practice/provision of health care, application of the evidence base from clinical trials to achieve public health gains, attention to adherence issues and better-tolerated therapies. Most importantly, a greater emphasis on prevention through public health measures and 'buy in' from the whole population is urgently required.;Diabetes Mellitus/ethnology/genetics/history/therapy, Diabetes Mellitus, Type 1/genetics/history/therapy, Diabetes Mellitus, Type 2/genetics/history/therapy, History, 20th Century, History, 21st Century, Humans,Public Health/history, Research/trends
9557034;1998 Jan 31;[Diabetes mellitus: current classification based on cause and sharpened blood;Recently new definitions were agreed for the glucose tolerance test (GTT), for impaired glucose tolerance and for the classification of diabetes mellitus. The World Health Organization and the American Diabetes Association have been active on this point. The fasting glucose value has been lowered and been brought into line with the two hour value of the GTT. Fasting glucose values can now be used for the diagnosis of diabetes mellitus and of impaired glucose tolerance. The new classification is based on differences in cause of the diabetes. The classification includes diabetes mellitus types 1 and 2, pregnancy diabetes and 'other forms of diabetes'.;Adult, Blood Glucose/analysis, Diabetes Mellitus/blood/*classification/etiology, Diabetes Mellitus, Type 1/classification, Diabetes Mellitus, Type 2/classification, Female, Glucose Tolerance Test, Glycated Hemoglobin A/analysis, Humans, Male, Pregnancy, Pregnancy in Diabetics/classification
428986;1979 Feb;Diet and diabetes mellitus.;Optimal control of any stage of diabetes is possible only with optimal dietary management. Furthermore, in 90% of stable patients who comply with regimens like those described, this dietary approach alone will suffice for control.;Age Factors, Blood Glucose/metabolism, Body Weight, Diabetes Complications, Diabetes Mellitus/classification/diagnosis/*diet therapy/metabolism, Diet, Diabetic, Glucose Tolerance Test, Humans, Ketosis/etiology, Time Factors
2405330;1990 Jan 7;[Is diabetes mellitus, diagnosed between the ages of 30-45, a special sub-type?].;Diabetes diagnosed in the so-called middle age of life is debated from the typological point of view. The authors investigated 45 diabetics, whose disease had been diagnosed between the age of 30-45 years. As a result of their observations they state that diabetes in this age range is heterogenous. Patients can be classified into insulin-dependent and non-insulin-dependent types of diabetes. Two of their patients could be classified into a newly described subtype (early onset diabetes, EOD). For the time being it seems that the exact delineation of this new diabetic subtype needs more detailed observations.;Adult, Age Factors, Diabetes Mellitus/*classification/diagnosis, Diabetes Mellitus, Type 1/classification/diagnosis, Diabetes Mellitus, Type 2/classification/diagnosis, Female, Humans, Male, Middle Aged
29777474;2018 Mar;Not quite type 1 or type 2, what now? Review of monogenic, mitochondrial, and syndromic diabetes.;Diabetes mellitus is a heterogeneous group of conditions defined by resultant chronic hyperglycemia. Given the increasing prevalence of diabetes mellitus and the increasing understanding of genetic etiologies, we present a broad review of rare genetic forms of diabetes that have differing diagnostic and/or treatment implications from type 1 and type 2 diabetes. Advances in understanding the genotype-phenotype associations in these rare forms of diabetes offer clinically available examples of evolving precision medicine where defining the correct genetic etiology can radically alter treatment approaches. In this review, we focus on forms of monogenic diabetes, mitochondrial diabetes, and syndromic diabetes.; Diabetes Mellitus/*classification/*diagnosis/*genetics, Humans
17978745;2007;[Diabetes mellitus: from clinical knowledge to public health concern].;Diabetes mellitus is a chronic disease whose prevalence is increasing worldwide. It remains associated with a high risk of severe complications, essentially micro- and macro-vascular complications. Type 1 diabetes is an auto-immune disease that leads to the destruction of insulin-secreting B cells and therefore requires an intensive expression is favoured by inadequate lifestyle, leading to obesity. It combines a relative insulin secretory defect and insulin resistance, the latter being associated with various other cardiovascular risk factors. Treatment consists of lifestyle modifications first, then the prescription of various glucose-lowering oral drugs and finally, when requested, insulin therapy. A multi-risk intervention is mandatory to improve the cardiovascular prognosis. The prevention of diabetes and its complications is a major public health objective.;Autoimmune Diseases/therapy, Diabetes Complications/classification/therapy, Diabetes Mellitus/*therapy, Diabetes Mellitus, Type 1/therapy, Diabetes Mellitus, Type 2/prevention & control/therapy, France, Health Knowledge, Attitudes, Practice, Humans, Public Health